,Municipality,x,y
0,Arcos de Valdevez,41.8458289,-8.4192213
1,Caminha,41.877277899999996,-8.838826699999998
2,Melgaço,42.1144544,-8.2579742
3,Monção,42.0771855,-8.4819441
4,Paredes de Coura,41.9130455,-8.5614589
5,Ponte da Barca,41.805637299999994,-8.4157905
6,Ponte de Lima,41.764733299999996,-8.582740699999999
7,Valença,42.026889399999995,-8.642119500000002
8,Viana do Castelo,41.691804600000005,-8.834451
9,Vila Nova de Cerveira,41.942845399999996,-8.7408025
10,Amares,41.6316562,-8.3487113
11,Barcelos,41.532050399999996,-8.619052499999999
12,Braga,41.5454486,-8.426507
13,Esposende,41.5309169,-8.780565199999998
14,Terras de Bouro,41.7167409,-8.3062444
15,Vila Verde,41.6514763,-8.434910400000001
16,Cabeceiras de Basto,41.511693900000004,-7.997975299999999
17,Fafe,41.451258100000004,-8.1708837
18,Guimarães,41.44253,-8.2917857
19,Mondim de Basto,41.4112348,-7.9526065
20,Póvoa de Lanhoso,41.5784784,-8.2689012
21,Vieira do Minho,41.634376200000005,-8.1416625
22,Vila Nova de Famalicão,41.411125899999995,-8.5237319
23,Vizela,41.376410799999995,-8.309834799999999
24,Arouca,40.9321489,-8.245099
25,Espinho,41.007191399999996,-8.641033199999999
26,Gondomar,41.1395599,-8.5291423
27,Maia,41.2278891,-8.621049000000001
28,Matosinhos,41.1844362,-8.696277499999999
29,Oliveira de Azeméis,40.8387294,-8.4769763
30,Paredes,41.2053076,-8.330486099999998
31,Porto,41.1579438,-8.6291053
32,Póvoa de Varzim,41.3803685,-8.7609294
33,Santa Maria da Feira,40.926794,-8.548324699999998
34,Santo Tirso,41.3431376,-8.473807800000001
35,São João da Madeira,40.900523799999995,-8.4906716
36,Trofa,41.3389988,-8.559548800000002
37,Vale de Cambra,40.8429643,-8.3956168
38,Valongo,41.188745000000004,-8.4983411
39,Vila do Conde,41.351932899999994,-8.7471423
40,Vila Nova de Gaia,41.123875899999994,-8.611785099999999
41,Boticas,41.6984124,-7.671088900000001
42,Chaves,41.7410586,-7.470604600000001
43,Montalegre,41.825410999999995,-7.788608900000001
44,Ribeira de Pena,41.5199011,-7.793850999999999
45,Valpaços,41.6069681,-7.310448299999999
46,Vila Pouca de Aguiar,41.500238700000004,-7.6432318
47,Amarante,41.2696357,-8.0826488
48,Baião,41.1617715,-8.035514
49,Castelo de Paiva,41.040944399999994,-8.271473599999998
50,Celorico de Basto,41.3869496,-8.002203399999999
51,Cinfães,41.071713,-8.0898477
52,Felgueiras,41.367707,-8.1951206
53,Lousada,41.277479299999996,-8.283737599999998
54,Marco de Canaveses,41.18450429999999,-8.1477551
55,Paços de Ferreira,41.278591600000006,-8.372138099999999
56,Penafiel,41.2053186,-8.2896845
57,Resende,41.1063615,-7.963363
58,Alijó,41.2772291,-7.4749657
59,Armamar,41.10007120000001,-7.6819429999999995
60,Carrazeda de Ansiães,41.24281679999999,-7.3080313
61,Freixo de Espada à Cinta,41.09008060000001,-6.8087993
62,Lamego,41.0953745,-7.8123805
63,Mesão Frio,41.1598648,-7.8899228
64,Moimenta da Beira,40.9813255,-7.615518700000001
65,Murça,41.4072842,-7.4533879
66,Penedono,40.9903208,-7.394349900000001
67,Peso da Régua,41.1656737,-7.7867017999999995
68,Sabrosa,41.266132,-7.5755135
69,Santa Marta de Penaguião,41.20988070000001,-7.7840719
70,São João da Pesqueira,41.1477381,-7.4050533
71,Sernancelhe,40.8998417,-7.4900188
72,Tabuaço,41.1162713,-7.5674579
73,Tarouca,41.0174461,-7.775003599999999
74,Torre de Moncorvo,41.1856059,-7.0498442
75,Vila Nova de Foz Côa,41.082246600000005,-7.1403598
76,Vila Real,41.3010351,-7.742235400000001
77,Alfândega da Fé,41.344363,-6.9601807
78,Bragança,41.8061131,-6.756738
79,Macedo de Cavaleiros,41.5153524,-6.877992599999999
80,Miranda do Douro,41.4995412,-6.2712311
81,Mirandela,41.4853545,-7.180871099999999
82,Mogadouro,41.3419345,-6.7094364
83,Vila Flor,41.3083369,-7.1536516
84,Vimioso,41.5844451,-6.529121099999999
85,Vinhais,41.8224297,-7.0498442
86,Alcobaça,39.548667,-8.979649199999999
87,Alenquer,39.0574004,-9.006365400000002
88,Arruda dos Vinhos,38.9835516,-9.0774591
89,Bombarral,39.268307899999996,-9.1581115
90,Cadaval,39.2384934,-9.1068816
91,Caldas da Rainha,39.4048977,-9.135404
92,Lourinhã,39.2497523,-9.289646800000002
93,Nazaré,39.60121470000001,-9.0700991
94,Óbidos,39.360421200000005,-9.158201400000001
95,Peniche,39.3603291,-9.387622
96,Sobral de Monte Agraço,39.0188114,-9.1505771
97,Torres Vedras,39.091011200000004,-9.2597522
98,Águeda,40.575424600000005,-8.4464368
99,Albergaria-a-Velha,40.689423600000005,-8.4796655
100,Anadia,40.440346999999996,-8.4352505
101,Aveiro,40.640505499999996,-8.6537539
102,Estarreja,40.7528385,-8.5709856
103,Ílhavo,40.602309000000005,-8.672371
104,Murtosa,40.7372064,-8.6380517
105,Oliveira do Bairro,40.5170209,-8.498208
106,Ovar,40.8596399,-8.625331300000001
107,Sever do Vouga,40.733418900000004,-8.3717672
108,Vagos,40.5552666,-8.6815253
109,Arganil,40.218548999999996,-8.053887
110,Cantanhede,40.347001500000005,-8.5933462
111,Coimbra,40.203314500000005,-8.4102573
112,Condeixa-a-Nova,40.1128075,-8.498689
113,Figueira da Foz,40.1521398,-8.857583
114,Góis,40.155204,-8.1106319
115,Lousã,40.1147188,-8.2440038
116,Mealhada,40.378484,-8.4535718
117,Mira,40.428797700000004,-8.7381261
118,Miranda do Corvo,40.0901981,-8.3296401
119,Montemor-o-Velho,40.1748245,-8.6826636
120,Mortágua,40.396853899999996,-8.2325058
121,Oliveira do Hospital,40.3608614,-7.862203200000001
122,Pampilhosa da Serra,40.046370399999994,-7.9497155
123,Penacova,40.2704883,-8.28054
124,Penela,40.029227899999995,-8.3908296
125,Soure,40.060419700000004,-8.6218634
126,Tábua,40.365638399999995,-8.0356087
127,Vila Nova de Poiares,40.2107667,-8.25907
128,Alvaiázere,39.8253215,-8.3827766
129,Ansião,39.9107177,-8.43851
130,Batalha,39.658295700000004,-8.8241243
131,Castanheira de Pêra,40.0063802,-8.210960700000001
132,Figueiró dos Vinhos,39.9026838,-8.2760816
133,Leiria,39.7495331,-8.807683
134,Marinha Grande,39.7503802,-8.9318059
135,Pedrógão Grande,39.917835,-8.1458099
136,Pombal,39.9167748,-8.6321415
137,Porto de Mós,39.6022749,-8.816566900000002
138,Aguiar da Beira,40.816453,-7.545410400000001
139,Carregal do Sal,40.4347784,-7.998000200000001
140,Castro Daire,40.8997924,-7.933502000000001
141,Mangualde,40.604557299999996,-7.763874499999999
142,Nelas,40.537787,-7.8498679000000005
143,Oliveira de Frades,40.7322554,-8.1737805
144,Penalva do Castelo,40.686229499999996,-7.633113000000001
145,Santa Comba Dão,40.3930591,-8.1502433
146,São Pedro do Sul,40.759793200000004,-8.0640758
147,Sátão,40.74235720000001,-7.7321201
148,Tondela,40.516838799999995,-8.0800471
149,Vila Nova de Paiva,40.8511511,-7.729537700000001
150,Viseu,40.656586100000006,-7.9124712
151,Vouzela,40.7231807,-8.112023200000001
152,Castelo Branco,39.803116100000004,-7.459772500000001
153,Idanha-a-Nova,39.9013925,-7.200580599999999
154,Oleiros,39.91852720000001,-7.913798599999999
155,Penamacor,40.169313,-7.1714925
156,Proença-a-Nova,39.7492692,-7.9243314
157,Vila Velha de Ródão,39.654510200000004,-7.6712121
158,Abrantes,39.4630563,-8.1995808
159,Alcanena,39.4583616,-8.6693288
160,Constância,39.478071899999996,-8.3372252
161,Entroncamento,39.4611239,-8.478759
162,Ferreira do Zêzere,39.693214399999995,-8.2905257
163,Mação,39.6043314,-7.9810845
164,Ourém,39.6564974,-8.577340800000002
165,Sardoal,39.53751810000001,-8.1612773
166,Sertã,39.80526629999999,-8.0989257
167,Tomar,39.6053819,-8.4043125
168,Torres Novas,39.4790062,-8.540103
169,Vila de Rei,39.6742376,-8.155706599999998
170,Vila Nova da Barquinha,39.4589562,-8.4322387
171,Almeida,40.72540479999999,-6.9055941999999995
172,Belmonte,40.351063,-7.340853500000001
173,Celorico da Beira,40.633500500000004,-7.3927217
174,Covilhã,40.2804158,-7.492240700000001
175,Figueira de Castelo Rodrigo,40.8946241,-6.963561299999999
176,Fornos de Algodres,40.620195700000004,-7.5395506999999995
177,Fundão,40.137963,-7.5010773
178,Gouveia,40.492331799999995,-7.5936525999999995
179,Guarda,40.5308408,-7.2221421
180,Manteigas,40.4022206,-7.5383393
181,Mêda,40.9670544,-7.2595951
182,Pinhel,40.778586,-7.1359377
183,Sabugal,40.379341600000004,-7.0498442
184,Seia,40.416123799999994,-7.708851200000001
185,Trancoso,40.778760399999996,-7.3491442
186,Alcochete,38.7561726,-8.9598931
187,Almada,38.6765238,-9.165104699999999
188,Amadora,38.757760299999994,-9.2245474
189,Barreiro,38.6608149,-9.0790724
190,Cascais,38.6967571,-9.4207438
191,Lisboa,38.722252399999995,-9.1393366
192,Loures,38.831549,-9.1741095
193,Mafra,38.9443106,-9.3320856
194,Moita,38.652913299999994,-8.9900856
195,Montijo,38.7054501,-8.9761494
196,Odivelas,38.795369,-9.18518
197,Oeiras,38.6919934,-9.3118418
198,Palmela,38.569441,-8.9016937
199,Seixal,38.64106760000001,-9.0975
200,Sesimbra,38.4444674,-9.1020079
201,Setúbal,38.5254047,-8.8941
202,Sintra,38.8029127,-9.3816495
203,Vila Franca de Xira,38.9549771,-8.9889589
204,Alcácer do Sal,38.3725007,-8.511008300000002
205,Grândola,38.176255700000006,-8.5662971
206,Odemira,37.5972313,-8.6366851
207,Santiago do Cacém,37.9650235,-8.5281613
208,Sines,37.9571555,-8.860890699999999
209,Aljustrel,37.8760582,-8.1649833
210,Almodôvar,37.4891809,-8.090174000000001
211,Alvito,38.2316311,-8.0247005
212,Barrancos,38.1328809,-6.9773125999999985
213,Beja,38.0153039,-7.8627308000000005
214,Castro Verde,37.6991315,-8.085826299999999
215,Cuba,38.156574,-7.8939316999999996
216,Ferreira do Alentejo,38.05938,-8.1140689
217,Mértola,37.641514799999996,-7.6606665
218,Moura,38.1314891,-7.3084571
219,Ourique,37.6521402,-8.2243904
220,Serpa,37.9443447,-7.5978743
221,Vidigueira,38.2118842,-7.8005203
222,Almeirim,39.207558399999996,-8.6259188
223,Alpiarça,39.2591889,-8.5820055
224,Azambuja,39.0688462,-8.8683235
225,Benavente,38.9817395,-8.8095549
226,Cartaxo,39.1618427,-8.7886431
227,Chamusca,39.3107092,-8.352656
228,Coruche,38.9603055,-8.524821699999999
229,Golegã,39.404796600000005,-8.488057199999998
230,Rio Maior,39.3393698,-8.935573699999999
231,Salvaterra de Magos,39.027201899999994,-8.794182000000001
232,Santarém,39.2848804,-8.704075
233,Alter do Chão,39.200942299999994,-7.6603032
234,Arronches,39.1218363,-7.2845731
235,Avis,39.0540687,-7.891114
236,Campo Maior,39.013452799999996,-7.070006299999999
237,Castelo de Vide,39.4142343,-7.4539634999999995
238,Crato,39.2876744,-7.6456553
239,Elvas,38.88027879999999,-7.1636637
240,Fronteira,39.0559973,-7.647753999999999
241,Gavião,39.46528,-7.935946899999999
242,Marvão,39.393944700000006,-7.3765363
243,Monforte,39.053627,-7.4395910999999995
244,Nisa,39.5179524,-7.648376700000001
245,Ponte de Sor,39.2576559,-8.011396099999999
246,Portalegre,39.2967086,-7.4284755
247,Sousel,38.9535932,-7.676421799999999
248,Alandroal,38.7021331,-7.4036488
249,Arraiolos,38.723479,-7.9863851
250,Borba,38.8068177,-7.458405
251,Estremoz,38.842414899999994,-7.5888963
252,Évora,38.571431,-7.913502
253,Montemor-o-Novo,38.647079999999995,-8.2178641
254,Mora,38.9447445,-8.1653387
255,Mourão,38.3637216,-7.286867999999999
256,Portel,38.2773641,-7.6548110000000005
257,Redondo,38.649004100000006,-7.543651400000001
258,Reguengos de Monsaraz,38.4252756,-7.53437
259,Vendas Novas,38.654081899999994,-8.5501283
260,Viana do Alentejo,38.33414929999999,-8.0038406
261,Vila Viçosa,38.766322100000004,-7.3624598
262,Albufeira,37.0890719,-8.247879600000001
263,Alcoutim,37.469978499999996,-7.4730776
264,Aljezur,37.3166126,-8.803728999999999
265,Castro Marim,37.2179422,-7.4423339
266,Faro,37.019354799999995,-7.9304397
267,Lagoa,37.1356176,-8.4514359
268,Lagos,37.1027881,-8.6730275
269,Loulé,37.1379187,-8.020216
270,Monchique,37.3188654,-8.556217199999999
271,Olhão,37.0260416,-7.8423509000000005
272,Portimão,37.13617,-8.5376926
273,São Brás de Alportel,37.152576,-7.8890523
274,Silves,37.1889976,-8.4412051
275,Tavira,37.133590600000005,-7.6430019
276,Vila do Bispo,37.082972600000005,-8.9091832
277,Vila Real de Santo António,37.1937172,-7.4209255
278,Vila do Porto,36.9568037,-25.1412316
279,Lagoa [R.A.A.],37.745104600000005,-25.5720746
280,Nordeste,37.8322686,-25.145931
281,Ponta Delgada,37.742830100000006,-25.6805868
282,Povoação,37.7486524,-25.2390903
283,Ribeira Grande,37.8210369,-25.514813699999998
284,Vila Franca do Campo,37.7157269,-25.4345063
285,Angra do Heroísmo,38.6635375,-27.229396899999998
286,Vila da Praia da Vitória,38.7339162,-27.064697600000002
287,Santa Cruz da Graciosa,39.0862753,-28.0156811
288,Calheta [R.A.A.],38.6020497,-28.0193407
289,Velas,38.6839843,-28.213187899999994
290,Lajes do Pico,38.399767700000005,-28.2519641
291,Madalena,38.5298862,-28.5185092
292,São Roque do Pico,38.5160544,-28.314048800000002
293,Horta,38.53484470000001,-28.629981199999996
294,Lajes das Flores,39.378262400000004,-31.178197499999996
295,Santa Cruz das Flores,39.458282700000005,-31.1338071
296,Corvo,39.7023111,-31.1080244
297,Calheta [R.A.M.],32.7379818,-17.180948
298,Câmara de Lobos,32.6610892,-16.986038399999998
299,Funchal,32.6669328,-16.924055399999997
300,Machico,32.7318412,-16.791291
301,Ponta do Sol,32.6854883,-17.0864266
302,Porto Moniz,32.8666844,-17.1706079
303,Ribeira Brava,32.6739884,-17.050990600000002
304,Santa Cruz,39.13408629999999,-9.3814444
305,Santana,32.8018761,-16.879792000000002
306,São Vicente,32.8040637,-17.047013800000002
307,Porto Santo,33.0759749,-16.3346061
